mode,subset,ordered_models,size,est_latency_s,feasible,extra_info_1,extra_info_2
parallel_first_finish,['mobilenet_v3_small'],['mobilenet_v3_small'],1,0.11212053584300267,True,,
parallel_first_finish,['resnet18'],['resnet18'],1,0.06801052487098028,True,,
parallel_first_finish,['resnet34'],['resnet34'],1,0.15079315265970755,True,,
parallel_first_finish,['resnet50'],['resnet50'],1,0.1787536050563898,True,,
parallel_first_finish,['resnet101'],['resnet101'],1,0.3854057733959642,False,,
parallel_first_finish,['vit_b_16'],['vit_b_16'],1,0.3926369451516377,False,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet18']","['mobilenet_v3_small', 'resnet18']",2,0.06801052487098028,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet34']","['mobilenet_v3_small', 'resnet34']",2,0.11212053584300267,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet50']","['mobilenet_v3_small', 'resnet50']",2,0.11212053584300267,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet101']","['mobilenet_v3_small', 'resnet101']",2,0.11212053584300267,True,,
parallel_first_finish,"['mobilenet_v3_small', 'vit_b_16']","['mobilenet_v3_small', 'vit_b_16']",2,0.11212053584300267,True,,
parallel_first_finish,"['resnet18', 'resnet34']","['resnet18', 'resnet34']",2,0.06801052487098028,True,,
parallel_first_finish,"['resnet18', 'resnet50']","['resnet18', 'resnet50']",2,0.06801052487098028,True,,
parallel_first_finish,"['resnet18', 'resnet101']","['resnet18', 'resnet101']",2,0.06801052487098028,True,,
parallel_first_finish,"['resnet18', 'vit_b_16']","['resnet18', 'vit_b_16']",2,0.06801052487098028,True,,
parallel_first_finish,"['resnet34', 'resnet50']","['resnet34', 'resnet50']",2,0.15079315265970755,True,,
parallel_first_finish,"['resnet34', 'resnet101']","['resnet34', 'resnet101']",2,0.15079315265970755,True,,
parallel_first_finish,"['resnet34', 'vit_b_16']","['resnet34', 'vit_b_16']",2,0.15079315265970755,True,,
parallel_first_finish,"['resnet50', 'resnet101']","['resnet50', 'resnet101']",2,0.1787536050563898,True,,
parallel_first_finish,"['resnet50', 'vit_b_16']","['resnet50', 'vit_b_16']",2,0.1787536050563898,True,,
parallel_first_finish,"['resnet101', 'vit_b_16']","['resnet101', 'vit_b_16']",2,0.3854057733959642,False,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['mobilenet_v3_small', 'resnet18', 'resnet34']",3,0.08254119782244125,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet18', 'resnet50']","['mobilenet_v3_small', 'resnet18', 'resnet50']",3,0.08492000624083595,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet18', 'resnet101']","['mobilenet_v3_small', 'resnet18', 'resnet101']",3,0.10250147848425462,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']","['mobilenet_v3_small', 'resnet18', 'vit_b_16']",3,0.1031166892828215,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet34', 'resnet50']","['mobilenet_v3_small', 'resnet34', 'resnet50']",3,0.12529534062785938,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet34', 'resnet101']","['mobilenet_v3_small', 'resnet34', 'resnet101']",3,0.13899371845335237,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet34', 'vit_b_16']","['mobilenet_v3_small', 'resnet34', 'vit_b_16']",3,0.1394730520293131,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet50', 'resnet101']","['mobilenet_v3_small', 'resnet50', 'resnet101']",3,0.1363852446574528,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet50', 'vit_b_16']","['mobilenet_v3_small', 'resnet50', 'vit_b_16']",3,0.1368180512146187,True,,
parallel_first_finish,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']","['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3,0.13543651638856014,True,,
parallel_first_finish,"['resnet18', 'resnet34', 'resnet50']","['resnet18', 'resnet34', 'resnet50']",3,0.08083945706660353,True,,
parallel_first_finish,"['resnet18', 'resnet34', 'resnet101']","['resnet18', 'resnet34', 'resnet101']",3,0.09417821716081543,True,,
parallel_first_finish,"['resnet18', 'resnet34', 'vit_b_16']","['resnet18', 'resnet34', 'vit_b_16']",3,0.09464496699472219,True,,
parallel_first_finish,"['resnet18', 'resnet50', 'resnet101']","['resnet18', 'resnet50', 'resnet101']",3,0.09163822252650258,True,,
parallel_first_finish,"['resnet18', 'resnet50', 'vit_b_16']","['resnet18', 'resnet50', 'vit_b_16']",3,0.09205966679580095,True,,
parallel_first_finish,"['resnet18', 'resnet101', 'vit_b_16']","['resnet18', 'resnet101', 'vit_b_16']",3,0.09071440082041664,True,,
parallel_first_finish,"['resnet34', 'resnet50', 'resnet101']","['resnet34', 'resnet50', 'resnet101']",3,0.16920236920031984,True,,
parallel_first_finish,"['resnet34', 'resnet50', 'vit_b_16']","['resnet34', 'resnet50', 'vit_b_16']",3,0.16953073207876987,True,,
parallel_first_finish,"['resnet34', 'resnet101', 'vit_b_16']","['resnet34', 'resnet101', 'vit_b_16']",3,0.16848258540757782,True,,
parallel_first_finish,"['resnet50', 'resnet101', 'vit_b_16']","['resnet50', 'resnet101', 'vit_b_16']",3,0.19472599436894414,True,,
