mode,subset,ordered_models,size,est_latency_s,feasible,extra_info_1,extra_info_2
sequential,['mobilenet_v3_small'],['mobilenet_v3_small'],1,0.11212053584300267,True,,
sequential,['resnet18'],['resnet18'],1,0.06801052487098028,True,,
sequential,['resnet34'],['resnet34'],1,0.15079315265970755,True,,
sequential,['resnet50'],['resnet50'],1,0.1787536050563898,True,,
sequential,['resnet101'],['resnet101'],1,0.3854057733959642,False,,
sequential,['vit_b_16'],['vit_b_16'],1,0.3926369451516377,False,,
sequential,"['mobilenet_v3_small', 'resnet18']","['resnet18', 'mobilenet_v3_small']",2,0.10603831805002092,True,,
sequential,"['mobilenet_v3_small', 'resnet34']","['mobilenet_v3_small', 'resnet34']",2,0.1626046722078908,True,,
sequential,"['mobilenet_v3_small', 'resnet50']","['mobilenet_v3_small', 'resnet50']",2,0.17086940220225125,True,,
sequential,"['mobilenet_v3_small', 'resnet101']","['mobilenet_v3_small', 'resnet101']",2,0.23195297659671874,False,,
sequential,"['mobilenet_v3_small', 'vit_b_16']","['mobilenet_v3_small', 'vit_b_16']",2,0.23409041276032597,False,,
sequential,"['resnet18', 'resnet34']","['resnet18', 'resnet34']",2,0.11716932251207882,True,,
sequential,"['resnet18', 'resnet50']","['resnet18', 'resnet50']",2,0.12521708203825058,True,,
sequential,"['resnet18', 'resnet101']","['resnet18', 'resnet101']",2,0.184697055136118,True,,
sequential,"['resnet18', 'vit_b_16']","['resnet18', 'vit_b_16']",2,0.1867783780902849,True,,
sequential,"['resnet34', 'resnet50']","['resnet34', 'resnet50']",2,0.19536490543008628,True,,
sequential,"['resnet34', 'resnet101']","['resnet34', 'resnet101']",2,0.24170796096400185,False,,
sequential,"['resnet34', 'vit_b_16']","['resnet34', 'vit_b_16']",2,0.24332959695718337,False,,
sequential,"['resnet50', 'resnet101']","['resnet50', 'resnet101']",2,0.26084367166337386,False,,
sequential,"['resnet50', 'vit_b_16']","['resnet50', 'vit_b_16']",2,0.26230790184958286,False,,
sequential,"['resnet101', 'vit_b_16']","['resnet101', 'vit_b_16']",2,0.46428619230509705,False,,
sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['resnet18', 'mobilenet_v3_small', 'resnet34']",3,0.12056899100148191,True,,
sequential,"['mobilenet_v3_small', 'resnet18', 'resnet50']","['resnet18', 'mobilenet_v3_small', 'resnet50']",3,0.1229477994198766,True,,
sequential,"['mobilenet_v3_small', 'resnet18', 'resnet101']","['resnet18', 'mobilenet_v3_small', 'resnet101']",3,0.14052927166329526,True,,
sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']","['resnet18', 'mobilenet_v3_small', 'vit_b_16']",3,0.14114448246186215,True,,
sequential,"['mobilenet_v3_small', 'resnet34', 'resnet50']","['mobilenet_v3_small', 'resnet34', 'resnet50']",3,0.1757794769927475,True,,
sequential,"['mobilenet_v3_small', 'resnet34', 'resnet101']","['mobilenet_v3_small', 'resnet34', 'resnet101']",3,0.1894778548182405,True,,
sequential,"['mobilenet_v3_small', 'resnet34', 'vit_b_16']","['mobilenet_v3_small', 'resnet34', 'vit_b_16']",3,0.18995718839420123,True,,
sequential,"['mobilenet_v3_small', 'resnet50', 'resnet101']","['mobilenet_v3_small', 'resnet50', 'resnet101']",3,0.1951341110167014,True,,
sequential,"['mobilenet_v3_small', 'resnet50', 'vit_b_16']","['mobilenet_v3_small', 'resnet50', 'vit_b_16']",3,0.1955669175738673,True,,
sequential,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']","['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3,0.25526895714227615,False,,
sequential,"['resnet18', 'resnet34', 'resnet50']","['resnet18', 'resnet34', 'resnet50']",3,0.12999825470770207,True,,
sequential,"['resnet18', 'resnet34', 'resnet101']","['resnet18', 'resnet34', 'resnet101']",3,0.14333701480191396,True,,
sequential,"['resnet18', 'resnet34', 'vit_b_16']","['resnet18', 'resnet34', 'vit_b_16']",3,0.14380376463582073,True,,
sequential,"['resnet18', 'resnet50', 'resnet101']","['resnet18', 'resnet50', 'resnet101']",3,0.14884477969377286,True,,
sequential,"['resnet18', 'resnet50', 'vit_b_16']","['resnet18', 'resnet50', 'vit_b_16']",3,0.14926622396307124,True,,
sequential,"['resnet18', 'resnet101', 'vit_b_16']","['resnet18', 'resnet101', 'vit_b_16']",3,0.20740093108555435,False,,
sequential,"['resnet34', 'resnet50', 'resnet101']","['resnet34', 'resnet50', 'resnet101']",3,0.2137741219706986,False,,
sequential,"['resnet34', 'resnet50', 'vit_b_16']","['resnet34', 'resnet50', 'vit_b_16']",3,0.2141024848491486,False,,
sequential,"['resnet34', 'resnet101', 'vit_b_16']","['resnet34', 'resnet101', 'vit_b_16']",3,0.2593973937118721,False,,
sequential,"['resnet50', 'resnet101', 'vit_b_16']","['resnet50', 'resnet101', 'vit_b_16']",3,0.2768160609759282,False,,
