step,mode,selected_models,selected_est_latency_s,feasible,deadline_s,mean_wait_s,max_wait_s,min_wait_s
1,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",0.54369794472888,True,15.0,0.3219038751000465,0.51002094472888,0.14605012203592938
1,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",0.24190704639619623,True,15.0,0.3219038751000465,0.51002094472888,0.14605012203592938
1,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",0.17959133357301238,True,15.0,0.3219038751000465,0.51002094472888,0.14605012203592938
2,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",8.918144641100833,True,15.0,1.8954944481049238,8.898310641100833,0.14605012203592938
2,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",0.24190704639619623,True,15.0,1.8954944481049238,8.898310641100833,0.14605012203592938
2,power_of_two_choices,"['mobilenet_v3_small', 'resnet18', 'resnet34']",0.18239783851165353,True,15.0,1.8954944481049238,8.898310641100833,0.14605012203592938
3,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",1.4904802725314177,True,15.0,0.8831247808020856,1.4421892725314176,0.4696708781388965
3,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",0.6905750770290352,True,15.0,0.8831247808020856,1.4421892725314176,0.4696708781388965
3,power_of_two_choices,"['mobilenet_v3_small', 'resnet18', 'resnet34']",0.534554270891794,True,15.0,0.8831247808020856,1.4421892725314176,0.4696708781388965
4,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",2.3946087997934873,True,15.0,1.3284544784645382,2.3463177997934874,0.6480838844206256
4,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet50']",0.9735796212771689,True,15.0,1.3284544784645382,2.3463177997934874,0.6480838844206256
4,power_of_two_choices,"['mobilenet_v3_small', 'resnet34', 'resnet50']",0.7411587811703968,True,15.0,1.3284544784645382,2.3463177997934874,0.6480838844206256
5,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",11.87300405406253,True,15.0,5.050727716623,11.83932705406253,1.270365356082103
5,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",1.953040941087357,True,15.0,5.050727716623,11.83932705406253,1.270365356082103
5,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",1.4661807369585933,True,15.0,5.050727716623,11.83932705406253,1.270365356082103
6,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",5.281750822601457,True,15.0,4.024552603625353,9.485897867470875,1.389711692780547
6,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",2.103990545280052,True,15.0,4.024552603625353,9.485897867470875,1.389711692780547
6,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",1.5830870372503385,True,15.0,4.024552603625353,9.485897867470875,1.389711692780547
7,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",6.340383001729217,True,15.0,3.9802265617945056,6.306706001729217,2.2068904260705704
7,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet50']",3.2475221115066777,True,15.0,3.9802265617945056,6.306706001729217,2.2068904260705704
7,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",2.4600836021316974,True,15.0,3.9802265617945056,6.306706001729217,2.2068904260705704
8,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",12.54858239660136,True,15.0,6.678202919854454,12.52874839660136,3.775473640577873
8,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",5.422180433437815,True,15.0,6.678202919854454,12.52874839660136,3.775473640577873
8,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.11717619497858,True,15.0,6.678202919854454,12.52874839660136,3.775473640577873
9,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",13.961845751881988,True,15.0,7.8655353915098685,13.928168751881987,3.858693048988868
9,sequential,"['resnet18', 'mobilenet_v3_small', 'vit_b_16']",5.53866754988555,True,15.0,7.8655353915098685,13.928168751881987,3.858693048988868
9,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.210686435650002,True,15.0,7.8655353915098685,13.928168751881987,3.858693048988868
10,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",12.673834031792984,True,15.0,7.096447405450694,12.654000031792984,3.9007252757694983
10,sequential,"['resnet18', 'mobilenet_v3_small', 'vit_b_16']",5.5907330087785025,True,15.0,7.096447405450694,12.654000031792984,3.9007252757694983
10,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.251347340930255,True,15.0,7.096447405450694,12.654000031792984,3.9007252757694983
11,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",12.66993306617332,True,15.0,7.249224507395238,12.65009906617332,3.9100093906114104
11,sequential,"['resnet18', 'mobilenet_v3_small', 'vit_b_16']",5.617049802667468,True,15.0,7.249224507395238,12.65009906617332,3.9100093906114104
11,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.270169048950799,True,15.0,7.249224507395238,12.65009906617332,3.9100093906114104
12,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",12.544135175110933,True,15.0,7.280701562496869,12.524301175110933,3.7842114995490235
12,sequential,"['resnet18', 'mobilenet_v3_small', 'vit_b_16']",5.450097728411366,True,15.0,7.280701562496869,12.524301175110933,3.7842114995490235
12,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.14108609811654,True,15.0,7.280701562496869,12.524301175110933,3.7842114995490235
13,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",13.25122504227158,True,15.0,7.3187008646541445,13.23139104227158,3.5294071353780883
13,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",5.1719169766566395,True,15.0,7.3187008646541445,13.23139104227158,3.5294071353780883
13,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3.8975338684420002,True,15.0,7.3187008646541445,13.23139104227158,3.5294071353780883
14,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",13.729295029641182,True,15.0,6.6635053817456145,13.695618029641182,3.2206947645425688
14,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",4.7464600714855925,True,15.0,6.6635053817456145,13.695618029641182,3.2206947645425688
14,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3.608956056833323,True,15.0,6.6635053817456145,13.695618029641182,3.2206947645425688
15,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",11.124070326732811,True,15.0,6.491950753460595,11.09039332673281,3.4611788273489696
15,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",5.0708436540437125,True,15.0,6.491950753460595,11.09039332673281,3.4611788273489696
15,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3.8480687981393453,True,15.0,6.491950753460595,11.09039332673281,3.4611788273489696
16,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",11.607326266858436,True,15.0,6.691989282454064,11.573649266858435,3.444172920846574
16,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",5.138856884947998,True,15.0,6.691989282454064,11.573649266858435,3.444172920846574
16,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3.830491383810407,True,15.0,6.691989282454064,11.573649266858435,3.444172920846574
17,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",11.822518694581692,True,15.0,7.155655099322366,11.788841694581691,3.896354542243548
17,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",5.881731744544892,True,15.0,7.155655099322366,11.788841694581691,3.896354542243548
17,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.281301683707002,True,15.0,7.155655099322366,11.788841694581691,3.896354542243548
18,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",11.773868339321071,True,15.0,7.480915669492428,11.74019133932107,4.270184779770118
18,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",6.4379584966639065,True,15.0,7.480915669492428,11.74019133932107,4.270184779770118
18,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",4.660655834018743,True,15.0,7.480915669492428,11.74019133932107,4.270184779770118
19,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",13.472363054339057,True,15.0,8.3489959191565,13.438686054339056,5.402587630215572
19,sequential,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']",7.8746532886546365,True,15.0,8.3489959191565,13.438686054339056,5.402587630215572
19,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",5.8020104006174416,True,15.0,8.3489959191565,13.438686054339056,5.402587630215572
20,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",12.508582250827626,True,15.0,8.420628487841332,12.474905250827625,6.499015387771186
20,sequential,"['vit_b_16', 'resnet18', 'mobilenet_v3_small']",8.879727397040696,True,15.0,8.420628487841332,12.474905250827625,6.499015387771186
20,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']",6.892318171896392,True,15.0,8.420628487841332,12.474905250827625,6.499015387771186
21,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",11.701150718576956,True,15.0,9.150392794846935,11.667473718576955,6.745075581892777
21,sequential,"['vit_b_16', 'resnet18', 'mobilenet_v3_small']",9.306692561798776,True,15.0,9.150392794846935,11.667473718576955,6.745075581892777
21,power_of_two_choices,"['resnet18', 'resnet101', 'vit_b_16']",8.177349304283592,True,15.0,9.150392794846935,11.667473718576955,6.745075581892777
22,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",13.25574832593983,True,15.0,10.595892963110588,13.23591432593983,6.744827202116673
22,sequential,"['vit_b_16', 'resnet18', 'mobilenet_v3_small']",9.992136021518736,True,15.0,10.595892963110588,13.23591432593983,6.744827202116673
22,power_of_two_choices,"['resnet18', 'resnet101', 'vit_b_16']",10.24561312623264,True,15.0,10.595892963110588,13.23591432593983,6.744827202116673
23,mode_s,"['vit_b_16', 'resnet101', 'resnet50']",14.036095658583728,True,15.0,11.231362638575304,14.016261658583728,6.670386698788365
23,sequential,"['vit_b_16', 'resnet18', 'mobilenet_v3_small']",10.230074711265098,True,15.0,11.231362638575304,14.016261658583728,6.670386698788365
