IAR,ModelSize,main_policy,plot_model_name,mean_latency_ms,std_latency_ms,n,arrival_rate,sem_latency_ms
1000.0,2.0,mode_s,,1111.6649044884573,457.7944048091444,9,1.0,152.59813493638146
750.0,2.0,mode_s,,1957.8895568847654,820.0752444652722,11,1.3333333333333333,247.26198961366245
500.0,2.0,mode_s,,2779.5508106549582,1273.3392195780996,12,2.0,367.5813705965619
250.0,2.0,mode_s,,4335.854709148407,1194.7223426538885,8,4.0,422.39813506282127
100.0,2.0,mode_s,,5535.8371925354,1742.7294752566247,25,10.0,348.5458950513249
60.0,2.0,mode_s,,7114.965147442288,2261.2409899925633,18,16.666666666666668,532.9796126402413
50.0,2.0,mode_s,,7317.536253678171,2132.1201461668197,19,20.0,489.1419080330703
1000.0,3.0,mode_s,,1593.254804611206,697.2641199744103,12,1.0,201.28281368174666
750.0,3.0,mode_s,,2805.030902226766,1294.3936745745862,6,1.3333333333333333,528.4340048323127
500.0,3.0,mode_s,,3689.2476876576743,2144.078320278658,12,2.0,618.9420976882619
250.0,3.0,mode_s,,4664.7154184488145,1480.7098097516257,13,4.0,410.67501101092427
100.0,3.0,mode_s,,5683.737821049161,1668.8363350488123,18,10.0,393.3484964011735
60.0,3.0,mode_s,,7318.821954727173,1781.015372740834,15,16.666666666666668,459.85619186430966
50.0,3.0,mode_s,,7611.291138331096,2215.897960058725,15,20.0,572.1423930801619
