step,req_id,mode,selected_models,executed_models,predicted_label,ground_truth_folder,is_correct,confidence,response_time_s,e2e_ms,selected_est_latency_s,success,stop_reason,qps_est,alpha,alpha_mode
1,REQ-00001,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",goldfish,n01443537,1,1.0,8.678001880645752,8654.378874693066,0.34656500504973836,True,mode_s_executed,0.4,0.9,adaptive
1,REQ-00000,power_of_two_choices,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['resnet18'],sea_slug,n01950731,1,0.9158753156661987,1.0129330158233643,942.3005003482103,0.0879991606759677,True,early_exit_first_finished_pass=resnet18,0.2,0.9,adaptive
1,REQ-00000,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['mobilenet_v3_small'],tick,n01776313,1,0.999659538269043,0.6798539161682129,658.2304169423878,0.2151285210115794,True,early_exit_first_pass=mobilenet_v3_small,0.2,0.9,adaptive
2,REQ-00000,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",lorikeet,n01820546,1,1.0,10.603452920913696,10582.22662517801,0.34656500504973836,True,mode_s_executed,0.2,0.9,adaptive
2,REQ-00002,power_of_two_choices,"['resnet18', 'resnet101', 'vit_b_16']",['resnet101'],macaw,n01818515,1,0.9999879598617554,0.5850303173065186,564.4261669367552,0.17843174970073822,True,early_exit_first_finished_pass=resnet101,0.6,0.9,adaptive
2,REQ-00001,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['mobilenet_v3_small'],crane,n02012849,1,0.99442058801651,0.4353518486022949,337.85216696560383,0.20777841060994273,True,early_exit_first_pass=mobilenet_v3_small,0.4,0.9,adaptive
3,REQ-00002,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",nematode,n01930112,1,0.9101302073877259,14.62943696975708,14559.942291583866,0.366120505365347,True,mode_s_executed,0.6,0.9,adaptive
3,REQ-00001,power_of_two_choices,"['resnet34', 'resnet50', 'vit_b_16']",['resnet34'],tailed_frog,n01644900,1,0.9736623167991638,2.2542707920074463,2231.2442921102047,0.16480741855442846,True,early_exit_first_finished_pass=resnet34,0.4,0.9,adaptive
3,REQ-00002,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['mobilenet_v3_small'],great_grey_owl,n01622779,1,0.9999991655349731,0.5271031856536865,451.1183751747012,0.2011531112484697,True,early_exit_first_pass=mobilenet_v3_small,0.6,0.9,adaptive
4,REQ-00003,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",peacock,n01806143,1,1.0,22.1741840839386,22136.529916897416,0.6498830877655388,True,mode_s_executed,0.8,0.9,adaptive
4,REQ-00004,power_of_two_choices,"['resnet18', 'vit_b_16', 'resnet34']",['resnet18'],sulphur-crested_cockatoo,n01819313,1,0.9987945556640625,0.44409608840942383,418.9782082103193,0.21425785378210757,True,early_exit_first_finished_pass=resnet18,1.0,0.9,adaptive
4,REQ-00003,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['mobilenet_v3_small'],nematode,n01930112,1,0.9934852719306946,0.423814058303833,410.79329140484333,0.194904641823144,True,early_exit_first_pass=mobilenet_v3_small,0.8,0.9,adaptive
5,REQ-00004,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",coucal,n01824575,1,1.0,22.31376886367798,22300.412958022207,0.6498830877655388,True,mode_s_executed,1.0,0.9,adaptive
5,REQ-00006,power_of_two_choices,"['resnet18', 'resnet34', 'mobilenet_v3_small']","['resnet18', 'resnet34']",tiger_shark,n01484850,0,1.0,11.114606142044067,10935.345124918967,0.5864784584278975,True,"early_exit_aggregate_pass_after_first_batch=['resnet18', 'resnet34']",1.4,0.8644444444444445,adaptive
5,REQ-00004,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['mobilenet_v3_small'],black_and_gold_garden_spider,n01773157,1,0.922681450843811,0.783524751663208,766.9412503018975,0.18915991934035084,True,early_exit_first_pass=mobilenet_v3_small,1.0,0.9,adaptive
6,REQ-00005,mode_s,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101', 'resnet34']",bald_eagle,n01614925,1,1.0,29.026798009872437,29001.396582927555,0.6498830877655389,True,mode_s_executed,1.2,0.8822222222222222,adaptive
6,REQ-00007,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'resnet50']","['mobilenet_v3_small', 'resnet101']",horned_viper,n01756291,0,0.5590155076238613,13.784929990768433,13750.13466598466,1.20735223710057,True,deadline_stop_before_resnet50,1.6,0.8466666666666667,adaptive
6,REQ-00005,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['mobilenet_v3_small', 'resnet18', 'resnet34']",magpie,n01582220,1,1.0,1.0314700603485107,1014.5494998432696,0.18915991934035084,True,ran_all,1.2,0.8822222222222222,adaptive
7,REQ-00007,mode_s,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101', 'resnet34']",goose,n01855672,1,1.0,27.997923851013184,27964.257459156215,0.9037689782011522,True,mode_s_executed,1.6,0.8466666666666667,adaptive
7,REQ-00003,power_of_two_choices,"['resnet18', 'resnet101', 'vit_b_16']","['resnet18', 'resnet101', 'vit_b_16']",sea_anemone,n01914609,1,0.6326946739813022,15.12263298034668,15100.827250164002,0.21091043156066672,True,ran_all,0.8,0.9,adaptive
7,REQ-00014,sequential,"['vit_b_16', 'resnet34', 'resnet50']",['vit_b_16'],hammerhead,n01494475,1,0.9013769030570984,0.7113590240478516,688.5566250421107,0.5459550876278366,True,early_exit_first_pass=vit_b_16,2.2,0.7933333333333333,adaptive
8,REQ-00006,mode_s,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101', 'resnet34']",wallaby,n01877812,1,1.0,33.50650095939636,33492.89633380249,0.6498830877655389,True,mode_s_executed,1.4,0.8644444444444445,adaptive
8,REQ-00009,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']","['mobilenet_v3_small', 'resnet50']",bulbul,n01560419,1,1.0,13.233451843261719,13171.353208832443,1.8070777169279635,True,"early_exit_aggregate_pass_after_first_batch=['mobilenet_v3_small', 'resnet50']",1.8,0.8288888888888889,adaptive
8,REQ-00009,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']",['mobilenet_v3_small'],albatross,n02058221,1,0.9066685438156128,4.45028018951416,4192.747457884252,0.17420348370079164,True,early_exit_first_pass=mobilenet_v3_small,1.8,0.8288888888888889,adaptive
9,REQ-00009,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",tick,n01776313,1,1.0,34.58210873603821,34556.869083084166,1.4019938084686545,True,mode_s_executed,1.8,0.8288888888888889,adaptive
9,REQ-00008,power_of_two_choices,"['mobilenet_v3_small', 'resnet101', 'resnet50']","['mobilenet_v3_small', 'resnet101']",albatross,n02058221,1,1.0,16.412302017211914,16387.87933299318,1.710841015418308,True,"early_exit_aggregate_pass_after_first_batch=['mobilenet_v3_small', 'resnet101']",1.8,0.8288888888888889,adaptive
9,REQ-00010,sequential,"['resnet18', 'resnet34', 'vit_b_16']",['resnet18'],magpie,n01582220,1,0.9807055592536926,5.731916189193726,5574.7210420668125,0.2993422689599231,True,early_exit_first_pass=resnet18,2.0,0.8111111111111111,adaptive
10,REQ-00008,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",wombat,n01883070,1,1.0,35.63324308395386,35610.89274985716,0.9358472246273015,True,mode_s_executed,1.6,0.8466666666666667,adaptive
10,REQ-00011,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']",['mobilenet_v3_small'],great_grey_owl,n01622779,1,0.9999984502792358,15.673820972442627,15588.464250322431,3.4618450941184213,True,early_exit_first_finished_pass=mobilenet_v3_small,1.8,0.8288888888888889,adaptive
10,REQ-00017,sequential,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101']",coucal,n01824575,1,1.0,2.2260148525238037,2159.861041698605,0.6214965979587277,True,early_exit_with_aggregation_at_resnet101,2.0,0.8111111111111111,adaptive
11,REQ-00034,mode_s,"['resnet50', 'resnet34', 'resnet18']","['resnet50', 'resnet34', 'resnet18']",harvestman,n01770081,1,1.0,24.253861904144287,24238.811541348696,5.514376304575838,True,mode_s_executed,1.6,0.8466666666666667,adaptive
11,REQ-00005,power_of_two_choices,"['resnet34', 'resnet101', 'mobilenet_v3_small']","['resnet34', 'resnet101']",hammerhead,n01494475,1,0.6306982277121658,19.015824794769287,18957.798874936998,0.855247460476896,True,deadline_stop_before_mobilenet_v3_small,1.2,0.8822222222222222,adaptive
11,REQ-00012,sequential,"['resnet18', 'vit_b_16', 'resnet34']",['resnet18'],ptarmigan,n01796340,1,0.9893748760223389,5.528307199478149,5437.653915956616,0.5002755306430747,True,early_exit_first_pass=resnet18,2.2,0.7933333333333333,adaptive
12,REQ-00010,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",sea_slug,n01950731,1,1.0,44.56768178939819,44445.013207849115,1.4494107515208101,True,mode_s_executed,2.0,0.8111111111111111,adaptive
12,REQ-00018,power_of_two_choices,"['vit_b_16', 'resnet101', 'resnet18']",['vit_b_16'],kite,n01608432,1,0.9022970795631409,14.796263217926025,14764.731500297785,1.3210660459292771,True,early_exit_first_finished_pass=vit_b_16,3.0,0.7222222222222222,adaptive
12,REQ-00011,sequential,"['resnet18', 'vit_b_16', 'resnet34']",['resnet18'],snail,n01944390,1,0.9851770401000977,6.610283136367798,6595.086291898042,0.5002755306431247,True,early_exit_first_pass=resnet18,2.2,0.7933333333333333,adaptive
13,REQ-00035,mode_s,"['resnet50', 'resnet34', 'resnet18']","['resnet50', 'resnet34', 'resnet18']",banded_gecko,n01675722,1,1.0,31.070132970809937,31054.310291074216,5.956732584261783,True,mode_s_executed,1.6,0.8466666666666667,adaptive
